exp,arm,depth,load_pct,size,trial,t0,submit,priority,alloc,start,finish,scout_start,scout_finish,bg_total,bg_done,work_s,load_cores,load_secs,timedout
e6,coscheduled,14,0,8,1,,,,,,,,,1,1,5,0,900,0
e6,coscheduled,14,0,8,2,,,,,,,,,1,1,5,0,900,0
e6,coscheduled,14,0,8,3,,,,,,,,,1,1,5,0,900,0
e6,coscheduled,14,0,8,4,,,,,,,,,1,1,5,0,900,0
e6,coscheduled,14,0,8,5,,,,,,,,,1,1,5,0,900,0
e6,coscheduled,14,0,8,1,,,,,,,,,2,2,5,0,900,0
e6,coscheduled,14,0,8,2,,,,,,,,,2,2,5,0,900,0
e6,coscheduled,14,0,8,3,,,,,,,,,2,2,5,0,900,0
e6,coscheduled,14,0,8,4,,,,,,,,,2,2,5,0,900,0
e6,coscheduled,14,0,8,5,,,,,,,,,2,2,5,0,900,0
e6,coscheduled,14,0,8,1,,,,,,,,,3,2,5,0,900,0
e6,coscheduled,14,0,8,2,,,,,,,,,3,2,5,0,900,0
e6,coscheduled,14,0,8,3,,,,,,,,,3,2,5,0,900,0
e6,coscheduled,14,0,8,4,,,,,,,,,3,2,5,0,900,0
e6,coscheduled,14,0,8,5,,,,,,,,,3,2,5,0,900,0
e6,coscheduled,14,0,8,1,,,,,,,,,4,2,5,0,900,0
e6,coscheduled,14,0,8,2,,,,,,,,,4,2,5,0,900,0
e6,coscheduled,14,0,8,3,,,,,,,,,4,2,5,0,900,0
e6,coscheduled,14,0,8,4,,,,,,,,,4,2,5,0,900,0
e6,coscheduled,14,0,8,5,,,,,,,,,4,2,5,0,900,0
e6,coscheduled,14,0,8,1,,,,,,,,,5,2,5,0,900,0
e6,coscheduled,14,0,8,2,,,,,,,,,5,2,5,0,900,0
e6,coscheduled,14,0,8,3,,,,,,,,,5,2,5,0,900,0
e6,coscheduled,14,0,8,4,,,,,,,,,5,2,5,0,900,0
e6,coscheduled,14,0,8,5,,,,,,,,,5,2,5,0,900,0
e6,coscheduled,14,0,8,1,,,,,,,,,6,2,5,0,900,0
e6,coscheduled,14,0,8,2,,,,,,,,,6,2,5,0,900,0
e6,coscheduled,14,0,8,3,,,,,,,,,6,2,5,0,900,0
e6,coscheduled,14,0,8,4,,,,,,,,,6,2,5,0,900,0
e6,coscheduled,14,0,8,5,,,,,,,,,6,2,5,0,900,0
