exp,arm,depth,load_pct,size,trial,t0,submit,priority,alloc,start,finish,scout_start,scout_finish,bg_total,bg_done,work_s,load_cores,load_secs,timedout
e4,baseline,14,94,8,1,1788865533.861272466,1788865533.957456,,,,,,,1,1788865533.968774454,5,121,900,1
e4,coscheduled,14,94,8,1,1788865660.932274656,1788865661.039392,1788865664.144496,1788865666.271340,1788865666.330239,1788865671.486867,1788865661.312659,1788865671.599214,1,1788865661.040213739,5,121,900,0
e4,baseline,14,94,8,2,1788865678.134732641,1788865678.231190,,,,,,,1,1788865678.243188454,5,121,900,1
e4,coscheduled,14,94,8,2,1788865805.229340707,1788865805.332872,1788865808.441586,1788865810.564256,1788865810.624141,1788865815.780109,1788865805.609004,1788865815.893396,1,1788865805.337237600,5,121,900,0
e4,coscheduled,14,94,8,3,1788865822.470777572,1788865822.574993,1788865825.702372,1788865827.823006,1788865827.880287,1788865833.099941,1788865822.860492,1788865833.216708,1,1788865822.578948888,5,121,900,0
e4,baseline,14,94,8,3,1788865839.808145521,1788865839.904006,,,,,,,1,1788865839.915649803,5,121,900,1
e4,coscheduled,14,94,8,4,1788865966.953581753,1788865967.057148,1788865970.186402,1788865972.301396,1788865972.361828,1788865977.516335,1788865967.344190,1788865977.635713,1,1788865967.061919181,5,121,900,0
e4,baseline,14,94,8,4,1788865984.249279545,1788865984.346314,,,,,,,1,1788865984.357086819,5,121,900,1
e4,coscheduled,14,94,8,5,1788866111.412869144,1788866111.516364,1788866114.647625,1788866116.760951,1788866116.819010,1788866121.975381,1788866111.805869,1788866122.095726,1,1788866111.520788722,5,121,900,0
e4,baseline,14,94,8,5,1788866128.734399118,1788866128.831298,,,,,,,1,1788866128.841765554,5,121,900,1
e4,baseline,14,94,8,6,1788866254.605659258,1788866254.702671,,,,,,,1,1788866254.714665631,5,121,900,1
e4,coscheduled,14,94,8,6,1788866380.345765258,1788866380.449067,1788866383.297104,1788866385.481884,1788866385.483912,1788866390.597492,1788866380.499442,1788866390.631105,1,1788866380.454907048,5,121,900,0
e4,coscheduled,14,94,8,7,1788866395.869606105,1788866395.972824,1788866398.824709,1788866401.005804,1788866401.007873,1788866406.127605,1788866396.023615,1788866406.163528,1,1788866395.977992649,5,121,900,0
e4,baseline,14,94,8,7,1788866411.421698755,1788866411.520739,,,,,,,1,1788866411.528789649,5,121,900,1
e4,coscheduled,14,94,8,8,1788866537.185976148,1788866537.293802,1788866540.146025,1788866542.327312,1788866542.329471,1788866547.446641,1788866537.345117,1788866547.482365,1,1788866537.295710114,5,121,900,0
e4,baseline,14,94,8,8,1788866552.729652335,1788866552.828543,,,,,,,1,1788866552.837850481,5,121,900,1
e4,baseline,14,94,8,9,1788866678.496312916,1788866678.595706,,,,,,,1,1788866678.603942278,5,121,900,1
e4,coscheduled,14,94,8,9,1788866804.245884444,1788866804.349201,1788866807.199030,1788866809.382618,1788866809.384946,1788866814.499149,1788866804.401420,1788866814.533732,1,1788866804.355179205,5,121,900,0
e4,coscheduled,14,94,8,10,1788866819.802225046,1788866819.908173,1788866822.761955,1788866824.943148,1788866824.947021,1788866830.064446,1788866819.961132,1788866830.100848,1,1788866819.912265421,5,121,900,0
e4,baseline,14,94,8,10,1788866835.366381318,1788866835.464808,,,,,,,1,1788866835.474059821,5,121,900,1
e4,coscheduled,14,93,8,1,1788866961.009068076,1788866961.113824,1788866968.959112,1788866968.962101,1788866968.964638,1788866974.087106,1788866966.159219,1788866974.124164,1,1788866961.115873500,5,120,900,0
e4,baseline,14,93,8,1,1788866979.155557115,1788866979.254157,,1788866979.281198,1788866979.283886,1788866987.038549,,,1,1788866979.262709078,5,120,900,0
e4,baseline,14,93,8,2,1788866992.052653429,1788866992.151462,,1788866992.178584,1788866992.181235,1788866999.935074,,,1,1788866992.160000460,5,120,900,0
e4,coscheduled,14,93,8,2,1788867004.967323961,1788867005.072098,1788867012.917032,1788867012.920197,1788867012.923028,1788867018.039424,1788867010.119599,1788867018.074624,1,1788867005.074934140,5,120,900,0
e4,baseline,14,93,8,3,1788867023.114250177,1788867023.212392,,1788867023.239695,1788867023.242355,1788867030.997945,,,1,1788867023.222189736,5,120,900,0
e4,coscheduled,14,93,8,3,1788867036.037951769,1788867036.142632,1788867043.990232,1788867043.994269,1788867043.997553,1788867049.114214,1788867041.191307,1788867049.149575,1,1788867036.147406113,5,120,900,0
e4,baseline,14,93,8,4,1788867054.191205232,1788867054.288310,,1788867054.315842,1788867054.318633,1788867062.072997,,,1,1788867054.297360908,5,120,900,0
e4,coscheduled,14,93,8,4,1788867067.092067829,1788867067.197515,1788867075.044168,1788867075.048166,1788867075.051608,1788867080.167406,1788867072.245751,1788867080.202987,1,1788867067.199406460,5,120,900,0
e4,baseline,14,93,8,5,1788867085.247675187,1788867085.345692,,1788867085.374529,1788867085.377420,1788867093.133021,,,1,1788867085.355310993,5,120,900,0
e4,coscheduled,14,93,8,5,1788867098.165571168,1788867098.270246,1788867106.116879,1788867106.121060,1788867106.124651,1788867111.241171,1788867103.317435,1788867111.277354,1,1788867098.273311183,5,120,900,0
e4,baseline,14,93,8,6,1788867116.323007622,1788867116.421244,,1788867116.449453,1788867116.452481,1788867124.207627,,,1,1788867116.431221594,5,120,900,0
e4,coscheduled,14,93,8,6,1788867129.230791274,1788867129.335502,1788867137.183760,1788867137.188243,1788867137.192064,1788867142.309008,1788867134.385029,1788867142.345059,1,1788867129.339683974,5,120,900,0
e4,coscheduled,14,93,8,7,1788867147.399302085,1788867147.503955,1788867155.355318,1788867155.359833,1788867155.363386,1788867160.483049,1788867152.554838,1788867160.520234,1,1788867147.506852768,5,120,900,0
