exp,arm,depth,load_pct,size,trial,t0,submit,priority,alloc,start,finish,scout_start,scout_finish,bg_total,bg_done,work_s,load_cores,load_secs,timedout
e5,coscheduled,14,94,8,1,1788862201.266859372,1788862201.372818,1788862204.412713,1788862206.550967,1788862206.592923,1788862211.734272,1788862201.587226,1788862211.824949,1,1788862201.376670682,5,121,15,0
e5,baseline,14,94,8,1,1788862217.744852518,1788862217.840693,,1788862229.216050,1788862229.259804,1788862237.038092,,,1,1788862217.853503646,5,121,15,0
e5,coscheduled,14,94,8,2,1788862242.965808674,1788862243.072548,1788862246.117083,1788862248.254025,1788862248.296604,1788862253.437382,1788862243.292780,1788862253.528434,1,1788862243.076879025,5,121,15,0
e5,baseline,14,94,8,2,1788862259.458453889,1788862259.555850,,1788862270.914074,1788862270.958036,1788862278.775505,,,1,1788862259.567009659,5,121,15,0
e5,coscheduled,14,94,8,3,1788862284.728952335,1788862284.834874,1788862287.924801,1788862290.015377,1788862290.058413,1788862295.201616,1788862285.100063,1788862295.293177,1,1788862284.837931953,5,121,15,0
e5,baseline,14,94,8,3,1788862301.229245618,1788862301.326174,,1788862312.683083,1788862312.727273,1788862320.505960,,,1,1788862301.335598556,5,121,15,0
e5,coscheduled,14,94,8,4,1788862326.443121290,1788862326.549249,1788862329.594136,1788862331.731131,1788862331.774656,1788862336.915921,1788862326.769635,1788862337.108357,1,1788862326.552247921,5,121,15,0
e5,baseline,14,94,8,4,1788862343.040613035,1788862343.136595,,1788862354.498766,1788862354.543471,1788862362.323220,,,1,1788862343.150324571,5,121,15,0
e5,coscheduled,14,94,8,5,1788862368.272182753,1788862368.376625,1788862371.423971,1788862373.560685,1788862373.604650,1788862378.746227,1788862368.598975,1788862378.835828,1,1788862368.377670031,5,121,15,0
e5,baseline,14,94,8,5,1788862384.776006925,1788862384.872343,,1788862396.226588,1788862396.271736,1788862404.051569,,,1,1788862384.885318896,5,121,15,0
e5,baseline,14,94,8,6,1788862409.990929046,1788862410.089728,,1788862421.452195,1788862421.497406,1788862429.277915,,,1,1788862410.096660305,5,121,15,0
e5,coscheduled,14,94,8,6,1788862435.238932580,1788862435.344679,1788862438.399427,1788862440.534758,1788862440.578932,1788862445.722310,1788862435.573750,1788862445.814749,1,1788862435.348684030,5,121,15,0
e5,baseline,14,94,8,7,1788862451.772374529,1788862451.870271,,1788862463.230093,1788862463.275921,1788862471.061566,,,1,1788862451.880879750,5,121,15,0
e5,coscheduled,14,94,8,7,1788862477.056586613,1788862477.160348,1788862480.216617,1788862482.348886,1788862482.393310,1788862487.537647,1788862477.391008,1788862487.631098,1,1788862477.163333140,5,121,15,0
e5,baseline,14,94,8,8,1788862493.602510752,1788862493.698437,,1788862505.088944,1788862505.134919,1788862512.917550,,,1,1788862493.710608636,5,121,15,0
e5,coscheduled,14,94,8,8,1788862518.905409479,1788862519.012532,1788862522.074019,1788862524.210031,1788862524.254895,1788862529.399867,1788862519.249116,1788862529.495001,1,1788862519.016426632,5,121,15,0
e5,baseline,14,94,8,9,1788862535.440722864,1788862535.539348,,1788862546.891376,1788862546.937591,1788862554.756501,,,1,1788862535.547033612,5,121,15,0
e5,coscheduled,14,94,8,9,1788862560.756099834,1788862560.859792,1788862563.964943,1788862566.048388,1788862566.093489,1788862571.238460,1788862561.138203,1788862571.333501,1,1788862560.864189185,5,121,15,0
e5,baseline,14,94,8,10,1788862577.306533355,1788862577.405638,,1788862588.753190,1788862588.799793,1788862596.580200,,,1,1788862577.415785319,5,121,15,0
e5,coscheduled,14,94,8,10,1788862602.564775174,1788862602.670937,1788862605.725914,1788862607.861610,1788862607.907158,1788862613.095707,1788862602.899515,1788862613.190772,1,1788862602.670791754,5,121,15,0
e5,coscheduled,14,94,8,1,1788862619.180343598,1788862619.284275,1788862622.356735,1788862624.487666,1788862624.534745,1788862629.686831,1788862619.520951,1788862629.786855,1,1788862619.286412695,5,121,30,0
e5,baseline,14,94,8,1,1788862635.772102264,1788862635.870186,,1788862662.241607,1788862662.288909,1788862670.070316,,,1,1788862635.877500946,5,121,30,0
