exp,arm,depth,load_pct,size,trial,t0,submit,priority,alloc,start,finish,scout_start,scout_finish,bg_total,bg_done,work_s,load_cores,load_secs,timedout
e3,baseline,100,0,1,1,1788860895.393579439,1788860895.584699,,1788860895.685497,1788860895.734501,1788860907.786568,,,1,1788860895.502497909,5,0,900,0
e3,coscheduled,100,0,1,1,1788860908.111557702,1788860908.313462,1788860915.658782,1788860915.692445,1788860915.733686,1788860920.863038,1788860908.528846,1788860920.950571,1,1788860908.219295464,5,0,900,0
e3,coscheduled,100,0,1,2,1788860921.302504903,1788860921.506525,1788860928.849867,1788860928.883393,1788860928.924348,1788860934.054794,1788860921.719849,1788860934.144121,1,1788860921.411716963,5,0,900,0
e3,baseline,100,0,1,2,1788860934.473981820,1788860934.669664,,1788860934.765152,1788860934.806159,1788860946.878333,,,1,1788860934.582021677,5,0,900,0
e3,baseline,100,0,1,3,1788860947.198432199,1788860947.390185,,1788860947.489721,1788860947.531275,1788860959.604134,,,1,1788860947.306583466,5,0,900,0
e3,coscheduled,100,0,1,3,1788860959.927529443,1788860960.131888,1788860967.475595,1788860967.509172,1788860967.550226,1788860972.678936,1788860960.345821,1788860972.766723,1,1788860960.036781987,5,0,900,0
e3,coscheduled,100,0,1,4,1788860973.095931154,1788860973.297614,1788860980.642549,1788860980.676201,1788860980.717134,1788860985.847075,1788860973.512850,1788860985.936208,1,1788860973.205152150,5,0,900,0
e3,baseline,100,0,1,4,1788860986.267475202,1788860986.459458,,1788860986.555074,1788860986.596351,1788860998.668964,,,1,1788860986.376429251,5,0,900,0
e3,baseline,100,0,1,5,1788860998.991014637,1788860999.184179,,1788860999.281449,1788860999.322904,1788861011.396533,,,1,1788860999.099961025,5,0,900,0
e3,coscheduled,100,0,1,5,1788861011.721699891,1788861011.922572,1788861019.266775,1788861019.300393,1788861019.341600,1788861024.471306,1788861012.137099,1788861024.559775,1,1788861011.829718000,5,0,900,0
e3,coscheduled,100,0,1,6,1788861024.891214882,1788861025.091935,1788861032.436306,1788861032.470351,1788861032.511518,1788861037.639886,1788861025.306285,1788861037.729303,1,1788861025.000464901,5,0,900,0
e3,baseline,100,0,1,6,1788861038.058560577,1788861038.249676,,1788861038.345351,1788861038.386757,1788861050.459046,,,1,1788861038.167505179,5,0,900,0
e3,baseline,100,0,1,7,1788861050.781429169,1788861050.972378,,1788861051.073469,1788861051.114971,1788861063.188439,,,1,1788861050.889892716,5,0,900,0
