exp,arm,depth,load_pct,size,trial,t0,submit,priority,alloc,start,finish,scout_start,scout_finish,bg_total,bg_done,work_s,load_cores,load_secs,timedout
e2,baseline,14,0,8,1,1788855620.628174045,1788855620.818260,,1788855620.880104,1788855620.902842,1788855628.673427,,,1,1788855620.737156665,5,0,900,0
e2,coscheduled,14,0,8,1,1788855628.948572130,1788855629.146576,1788855632.101030,1788855632.123371,1788855632.145991,1788855637.277459,1788855629.282969,1788855637.327803,1,1788855629.056025082,5,0,900,0
e2,coscheduled,14,0,8,2,1788855637.622659119,1788855637.821764,1788855640.775655,1788855640.797934,1788855640.820587,1788855645.951901,1788855637.958507,1788855646.002684,1,1788855637.730458192,5,0,900,0
e2,baseline,14,0,8,2,1788855646.292007433,1788855646.484459,,1788855646.546338,1788855646.569034,1788855654.339475,,,1,1788855646.400378128,5,0,900,0
e2,coscheduled,14,0,8,3,1788855654.619865684,1788855654.819308,1788855657.774752,1788855657.797442,1788855657.820077,1788855662.951675,1788855654.956721,1788855663.002241,1,1788855654.727779459,5,0,900,0
e2,baseline,14,0,8,3,1788855663.290279131,1788855663.483511,,1788855663.545318,1788855663.568053,1788855671.338911,,,1,1788855663.398820480,5,0,900,0
e2,coscheduled,14,0,8,4,1788855671.620934104,1788855671.820288,1788855674.775730,1788855674.798171,1788855674.820927,1788855679.952776,1788855671.958002,1788855680.003690,1,1788855671.728419173,5,0,900,0
e2,baseline,14,0,8,4,1788855680.294858418,1788855680.486893,,1788855680.548833,1788855680.571631,1788855688.342444,,,1,1788855680.404295058,5,0,900,0
e2,baseline,14,0,8,5,1788855688.621012418,1788855688.813464,,1788855688.875837,1788855688.898858,1788855696.669266,,,1,1788855688.728948605,5,0,900,0
e2,coscheduled,14,0,8,5,1788855696.949495728,1788855697.148436,1788855700.103372,1788855700.125772,1788855700.148475,1788855705.280959,1788855697.285686,1788855705.331319,1,1788855697.058176167,5,0,900,0
e2,coscheduled,14,0,8,6,1788855705.628116747,1788855705.826937,1788855708.780490,1788855708.802952,1788855708.825674,1788855713.957456,1788855705.963285,1788855714.007611,1,1788855705.736273659,5,0,900,0
e2,baseline,14,0,8,6,1788855714.299106568,1788855714.492614,,1788855714.554865,1788855714.577790,1788855722.347630,,,1,1788855714.407693338,5,0,900,0
e2,baseline,14,0,8,7,1788855722.631541872,1788855722.822699,,1788855722.885210,1788855722.908258,1788855730.679028,,,1,1788855722.739102659,5,0,900,0
e2,coscheduled,14,0,8,7,1788855730.953390439,1788855731.151051,1788855734.106991,1788855734.129399,1788855734.152166,1788855739.285506,1788855731.288825,1788855739.336598,1,1788855731.061606736,5,0,900,0
e2,coscheduled,14,0,8,8,1788855739.632068481,1788855739.832195,1788855742.785818,1788855742.808189,1788855742.830995,1788855747.963242,1788855739.968793,1788855748.013953,1,1788855739.739540465,5,0,900,0
e2,baseline,14,0,8,8,1788855748.305076690,1788855748.497413,,1788855748.559819,1788855748.582811,1788855756.353521,,,1,1788855748.413163179,5,0,900,0
e2,coscheduled,14,0,8,9,1788855756.634740528,1788855756.833351,1788855759.789100,1788855759.812098,1788855759.834957,1788855764.966703,1788855756.971161,1788855765.017682,1,1788855756.742512487,5,0,900,0
e2,baseline,14,0,8,9,1788855765.305986341,1788855765.496473,,1788855765.558937,1788855765.581957,1788855773.352803,,,1,1788855765.413981201,5,0,900,0
e2,baseline,14,0,8,10,1788855773.635411669,1788855773.828460,,1788855773.891360,1788855773.914588,1788855781.685222,,,1,1788855773.743940479,5,0,900,0
e2,coscheduled,14,0,8,10,1788855781.960927102,1788855782.159001,1788855785.115194,1788855785.138876,1788855785.162112,1788855790.294138,1788855782.297060,1788855790.344682,1,1788855782.068967281,5,0,900,0
e2,coscheduled,14,50,8,1,1788855792.982825933,1788855793.087768,1788855796.042653,1788855796.065818,1788855796.089188,1788855801.207236,1788855793.225787,1788855801.255956,1,1788855793.091715427,5,64,900,0
e2,baseline,14,50,8,1,1788855804.804530299,1788855804.900505,,1788855804.962754,1788855804.996086,1788855812.750104,,,1,1788855804.912367139,5,64,900,0
